dept_name,contact,email,floor_no,room_no,head
Principal,9116719775,Principal.1377@school.ac.in,0,0,1001
Office Worker,7258977438,Office Worker.1790@school.ac.in,0,1,1002
Library,8727366309,Library.4979@school.ac.in,0,2,1003
Sports,7318197221,Sports.0361@school.ac.in,0,3,1004
Sweepers,9912396985,Sweepers.4673@school.ac.in,0,4,1005
Music,9105516776,Music.1043@school.ac.in,0,5,1006
Dance,8918087243,Dance.9490@school.ac.in,0,6,1007
Art,9338698927,Art.0560@school.ac.in,0,7,1008
Moral Science,8559934388,Moral Science.6521@school.ac.in,0,8,1009
General Knowledge,7906747351,General Knowledge.1220@school.ac.in,0,9,1010
English,7541063541,English.8656@school.ac.in,0,10,1011
Physics,9161266550,Physics.9402@school.ac.in,0,11,1012
Chemistry,9751892042,Chemistry.4840@school.ac.in,0,12,1013
Biology,7040369058,Biology.8763@school.ac.in,0,13,1014
Mathematics,7668727242,Mathematics.4245@school.ac.in,0,14,1015
Hindi,7502946655,Hindi.5659@school.ac.in,0,15,1016
History,8057772924,History.2327@school.ac.in,0,16,1017
Civics,9859871514,Civics.4052@school.ac.in,0,17,1018
Geography,9177089533,Geography.5591@school.ac.in,0,18,1019
computer,7387169159,computer.2683@school.ac.in,0,19,1020
