SRN,marks,course,session_no
1001,23,Moral Science,2022
1001,87,History,2022
1001,96,Library,2022
1001,100,Music,2022
1001,76,Mathematics,2022
1001,20,Civics,2022
1001,93,Physics,2022
1001,73,Sports,2022
1002,80,Moral Science,2022
1002,\N,History,2022
1002,3,Library,2022
1002,71,Music,2022
1002,24,Mathematics,2022
1002,62,Civics,2022
1002,80,Physics,2022
1002,13,Sports,2022
1003,67,Moral Science,2022
1003,\N,History,2022
1003,63,Library,2022
1003,95,Music,2022
1003,67,Mathematics,2022
1003,42,Civics,2022
1003,1,Physics,2022
1003,39,Sports,2022
1004,53,Moral Science,2022
1004,\N,History,2022
1004,72,Library,2022
1004,16,Music,2022
1004,48,Mathematics,2022
1004,79,Civics,2022
1004,60,Physics,2022
1004,69,Sports,2022
1005,95,Moral Science,2022
1005,37,History,2022
1005,26,Library,2022
1005,67,Music,2022
1005,70,Mathematics,2022
1005,91,Civics,2022
1005,55,Physics,2022
1005,\N,Sports,2022
1006,91,Moral Science,2022
1006,46,History,2022
1006,98,Library,2022
1006,99,Music,2022
1006,56,Mathematics,2022
1006,33,Civics,2022
1006,32,Physics,2022
1006,92,Sports,2022
1007,79,Moral Science,2022
1007,\N,History,2022
1007,66,Library,2022
1007,28,Music,2022
1007,81,Mathematics,2022
1007,55,Civics,2022
1007,20,Physics,2022
1007,31,Sports,2022
1008,22,Moral Science,2022
1008,11,History,2022
1008,38,Library,2022
1008,52,Music,2022
1008,51,Mathematics,2022
1008,10,Civics,2022
1008,9,Physics,2022
1008,60,Sports,2022
1009,90,Moral Science,2022
1009,83,History,2022
1009,38,Library,2022
1009,46,Music,2022
1009,75,Mathematics,2022
1009,86,Civics,2022
1009,11,Physics,2022
1009,87,Sports,2022
1010,96,Moral Science,2022
1010,60,History,2022
1010,24,Library,2022
1010,92,Music,2022
1010,30,Mathematics,2022
1010,83,Civics,2022
1010,81,Physics,2022
1010,34,Sports,2022
1011,70,Moral Science,2022
1011,84,History,2022
1011,37,Library,2022
1011,73,Music,2022
1011,26,Mathematics,2022
1011,69,Civics,2022
1011,41,Physics,2022
1011,77,Sports,2022
1012,14,Moral Science,2022
1012,6,History,2022
1012,16,Library,2022
1012,35,Music,2022
1012,51,Mathematics,2022
1012,73,Civics,2022
1012,85,Physics,2022
1012,63,Sports,2022
1013,69,Moral Science,2022
1013,45,History,2022
1013,31,Library,2022
1013,82,Music,2022
1013,47,Mathematics,2022
1013,33,Civics,2022
1013,78,Physics,2022
1013,85,Sports,2022
1014,34,Moral Science,2022
1014,91,History,2022
1014,43,Library,2022
1014,98,Music,2022
1014,43,Mathematics,2022
1014,42,Civics,2022
1014,35,Physics,2022
1014,83,Sports,2022
1015,34,Moral Science,2022
1015,44,History,2022
1015,89,Library,2022
1015,75,Music,2022
1015,27,Mathematics,2022
1015,78,Civics,2022
1015,84,Physics,2022
1015,48,Sports,2022
1016,21,Moral Science,2022
1016,74,History,2022
1016,74,Library,2022
1016,55,Music,2022
1016,36,Mathematics,2022
1016,95,Civics,2022
1016,92,Physics,2022
1016,92,Sports,2022
1017,23,Moral Science,2022
1017,38,History,2022
1017,91,Library,2022
1017,92,Music,2022
1017,59,Mathematics,2022
1017,83,Civics,2022
1017,25,Physics,2022
1017,12,Sports,2022
